Date,Steps,Distance_km,Active_Energy_kcal,Resting_Heart_Rate_bpm
2019-04-17,1066,0.81,0.0,
2019-04-18,954,0.65,0.0,
2019-04-19,669,0.5,0.0,
2019-04-20,11142,7.79,0.0,
2019-04-21,1686,1.11,0.0,
2019-04-22,210,0.15,0.0,
2019-04-23,784,0.55,0.0,
2019-04-24,2356,1.71,0.0,
2019-04-25,559,0.4,0.0,
2019-04-26,3469,2.28,0.0,
2019-04-27,2189,1.45,0.0,
2019-04-28,4210,3.01,0.0,
2019-04-29,5394,3.75,0.0,
2019-04-30,7825,5.35,0.0,
2019-05-01,909,0.63,0.0,
2019-05-02,6479,4.45,0.0,
2019-05-03,8015,5.76,0.0,
2019-05-04,3018,1.95,0.0,
2019-05-05,1113,0.72,0.0,
2019-05-06,3642,2.55,0.0,
2019-05-07,7016,5.02,0.0,
2019-05-08,2799,1.96,0.0,
2019-05-09,7420,5.16,0.0,
2019-05-10,5048,3.35,0.0,
2019-05-11,2837,1.88,0.0,
2019-05-12,2419,1.58,0.0,
2019-05-13,7248,4.96,0.0,
2019-05-14,5216,3.6,0.0,
2019-05-15,4080,2.72,0.0,
2019-05-16,6993,5.05,0.0,
2019-05-17,5003,3.27,0.0,
2019-05-18,4901,3.11,0.0,
2019-05-19,741,0.48,0.0,
2019-05-20,4719,3.53,0.0,
2019-05-21,7652,5.11,0.0,
2019-05-22,2308,1.53,0.0,
2019-05-23,4338,3.16,0.0,
2019-05-24,5734,3.76,0.0,
2019-05-25,3265,2.0,0.0,
2019-05-26,3404,2.42,0.0,
2019-05-27,707,0.52,0.0,
2019-05-28,3091,2.16,0.0,
2019-05-29,4138,3.04,0.0,
2019-05-30,1882,1.29,0.0,
2019-05-31,4615,3.44,0.0,
2019-06-01,5651,3.74,0.0,
2019-06-02,1559,0.99,0.0,
2019-06-03,369,0.26,0.0,
2019-06-04,655,0.47,0.0,
2019-06-05,3262,2.19,0.0,
2019-06-06,1257,0.92,0.0,
2019-06-07,2453,1.64,0.0,
2019-06-08,3992,2.71,0.0,
2019-06-09,996,0.68,0.0,
2019-06-10,1983,1.36,0.0,
2019-06-11,4170,2.67,0.0,
2019-06-12,2626,1.81,0.0,
2019-06-13,383,0.26,0.0,
2019-06-14,1664,1.28,0.0,
2019-06-15,8002,5.15,0.0,
2019-06-16,3487,2.3,0.0,
2019-06-17,3376,2.16,0.0,
2019-06-18,3207,2.14,0.0,
2019-06-19,2182,1.38,0.0,
2019-06-20,5387,3.75,0.0,
2019-06-21,3529,2.45,0.0,
2019-06-22,3077,2.28,0.0,
2019-06-23,4516,3.19,0.0,
2019-06-24,5953,3.86,0.0,
2019-06-25,5959,3.9,0.0,
2019-06-26,4102,2.76,0.0,
2019-06-27,2491,1.82,0.0,
2019-06-28,3038,2.01,0.0,
2019-06-29,12631,8.68,0.0,
2019-06-30,8517,5.52,0.0,
2019-07-01,11731,7.24,0.0,
